date,K1,K2,K3,K4,K5,K6,Tfwd,Tret,Pfwd,Pret,Pump1,Pump2,Pump3,Pump4,Pump5,Pump6,Pump3.1,Pump6.1,Pboil,Tboil,Vfwd
19.01.2018 08:00,1,1,1,1,,,77,57,7.1,3.3,1,1,1,,1,1,,1,5.1,61,2653
19.01.2018 10:00,1,1,1,1,,,77,57,7,3.1,1,1,1,,1,1,,1,5.1,61,2643
19.01.2018 12:00,1,1,1,1,,,77,57,7,3.1,1,1,1,,1,1,,1,5.1,61,2663
19.01.2018 14:00,1,1,1,1,,,77,58,7,2.9,1,1,1,,1,1,,1,5.1,61,2681
19.01.2018 16:00,1,1,1,1,,,77,58,7,3,1,1,1,,1,1,,1,5.1,61,2644
19.01.2018 18:00,1,1,1,1,,,77,58,7.2,3.4,1,1,1,,1,1,,1,5.1,61,2597
19.01.2018 20:00,1,1,1,1,,,79,58,7.1,3.1,1,1,1,,1,1,,1,5.1,61,2600
19.01.2018 22:00,1,1,1,1,,,78,57,7.1,3.2,1,1,1,,1,1,,1,5.1,61,2650
20.01.2018 00:00,1,1,1,1,,,78,57,7,3.2,1,1,1,,1,1,,1,5.1,61,2700
20.01.2018 02:00,1,1,1,1,,,79,58,7.1,3,1,1,1,,1,1,,1,5.1,62,2660
20.01.2018 04:00,1,1,1,1,,,79,59,7.1,3.1,1,1,1,,1,1,,1,5.1,62,2680
20.01.2018 06:00,1,1,1,1,,,79,59,7,3.1,1,1,1,,1,1,,1,5.1,63,2650
20.01.2018 08:00,1,1,1,1,,,80,60,7.2,3.4,1,1,1,,1,1,,1,4.9,63,2658
20.01.2018 10:00,1,1,1,1,,,80,59,7.1,3.1,1,1,1,,1,1,,1,4.9,62,2701
20.01.2018 12:00,1,1,1,1,,,79,58,7,2.9,1,1,1,,1,1,,1,5.1,61,2721
20.01.2018 14:00,1,1,1,1,,,79,58,7,3,1,1,1,,1,1,,1,5.1,61,2708
20.01.2018 16:00,1,1,1,1,,,79,58,7.1,3.2,1,1,1,,1,1,,1,5.1,61,2641
20.01.2018 18:00,1,1,1,1,,,80,58,7.1,3.1,1,1,1,,1,1,,1,5.1,62,2628
20.01.2018 20:00,1,1,1,1,,,80,58,7.2,3.1,1,1,1,,1,1,,1,5.1,62,2565
20.01.2018 22:00,1,1,1,1,,,80,58,7.2,3.1,1,1,1,,1,1,,1,5.1,62,2565
21.01.2018 00:00,1,1,1,1,,,80,58,7.1,3.1,1,1,1,,1,1,,1,5.1,62,2516
21.01.2018 02:00,1,1,1,1,,,80,60,7.2,2.9,1,1,1,,1,1,,1,5.1,63,2511
21.01.2018 04:00,1,1,1,1,,,80,60,7.2,3.1,1,1,1,,1,1,,1,5.1,63,2511
21.01.2018 06:00,1,1,1,1,,,80,60,7.4,3.4,1,1,1,,1,1,,1,5.1,63,2516
21.01.2018 08:00,1,1,1,1,,,79,59,7.3,2.9,1,1,1,,1,1,,1,5.2,61,2368
21.01.2018 10:00,1,1,1,1,,,78,57,7.2,2.9,1,1,1,,1,1,,1,5.1,61,2380
