date;flow;head out;head in;head in lift 1;head out lift 1;power sup. unit 1;freq unit 1;voltage unit 1;current unit 1;power sup. unit 2;freq unit 2;voltage unit 2;current unit 2;power sup. unit 3;freq unit 3;voltage unit 3;current unit 3;power sup. unit 3.1;freq unit 3.1;voltage unit 3.1;current unit 3.1;head in lift 2;head out lift 2;power sup. unit 4;freq unit 4;voltage unit 4;current unit 4;power sup. unit 5;freq unit 5;voltage unit 5;current unit 5;power sup. unit 6;freq unit 6;voltage unit 6;current unit 6;power sup. unit 6.1;freq unit 6.1;voltage unit 6.1;current unit 6.1
21.04.2019 12:00;1220;7,6;3,5;3,3;5,9;60;36;380;158;62;36,5;380;160;62;36;380;160;0;0;0;0;5,6;7,9;0;0;0;0;0;0;0;0;85;41;380;195;0;0;0;0
21.04.2019 13:00;1150;7,6;3,7;3,7;6;51;34,6;380;150;47;35;380;140;50;34,7;380;142;0;0;0;0;5,6;8;0;0;0;0;0;0;0;0;90;40;380;190;0;0;0;0
21.04.2019 14:00;1170;7,5;3,4;3,1;6;65;38,4;380;165;61;38,6;380;155;62;38,3;380;155;0;0;0;0;5,6;7,9;0;0;0;0;0;0;0;0;75;40;380;175;0;0;0;0
21.04.2019 15:00;1120;7,5;3,7;3,6;6,1;55;36,7;380;155;52;37;380;145;55;36,5;380;145;0;0;0;0;5,6;7,8;0;0;0;0;0;0;0;0;73;39;380;175;0;0;0;0
21.04.2019 16:00;1115;7,6;3;2,9;6;72;40;380;175;68;40,3;380;165;72;40;380;170;0;0;0;0;5,5;7,9;0;0;0;0;0;0;0;0;80;40;380;180;0;0;0;0
21.04.2019 17:00;1150;7,5;3,1;3;6;72;39,4;380;170;65;39,8;380;160;65;39,5;380;162;0;0;0;0;5,6;7,9;0;0;0;0;0;0;0;0;75;39,1;380;175;0;0;0;0
21.04.2019 18:00;1120;7,6;3;2,9;6;70;39,2;380;170;67;39,9;380;162;70;39,6;380;162;0;0;0;0;5,5;7,8;0;0;0;0;0;0;0;0;76;39,5;380;180;0;0;0;0
21.04.2019 19:00;1175;7,6;3,1;2,9;6;75;40;380;175;70;40,4;380;168;75;40;380;165;0;0;0;0;5,6;7,9;0;0;0;0;0;0;0;0;80;39,5;380;180;0;0;0;0
21.04.2019 20:00;1254;7,5;3;2,7;5,9;77;41;380;177;72;41;380;170;75;40;380;170;0;0;0;0;5,5;7,8;0;0;0;0;0;0;0;0;90;41,8;380;200;0;0;0;0
21.04.2019 21:00;1300;7,5;3;2,7;6;80;41;380;178;75;40;380;173;78;41;380;174;0;0;0;0;5,6;7,9;0;0;0;0;0;0;0;0;100;43,4;380;220;0;0;0;0
21.04.2019 22:00;1378;7,6;3,1;2,9;6;80;41;380;180;77;41;380;175;80;41;380;176;0;0;0;0;5,6;7,9;0;0;0;0;0;0;0;0;115;44,6;380;235;0;0;0;0
21.04.2019 23:00;1340;7,5;3;3;6;80;40,75;380;190;77;40,35;380;176;81;40,48;380;176;0;0;0;0;5,4;7,9;0;0;0;0;0;0;0;0;115;44,6;380;232;0;0;0;0
22.04.2019 00:00;1220;7,6;3,6;3,2;5,9;70;40;380;180;75;40;380;180;78;40;380;179;0;0;0;0;5,5;8;0;0;0;0;0;0;0;0;105;40;380;220;0;0;0;0
22.04.2019 01:00;1230;7,6;3,5;3,5;6;64;40;380;160;70;40;380;179;75;40;380;180;0;0;0;0;5,6;8;0;0;0;0;0;0;0;0;90;41;380;205;0;0;0;0
22.04.2019 02:00;1200;7,5;3,4;3,6;6;58;37;287;157;52;38;275;150;52;38;275;143;0;0;0;0;5,7;8;0;0;0;0;0;0;0;0;85;41,16;310;190;0;0;0;0
22.04.2019 03:00;1210;7,5;3,5;3,4;6;57;36;280;155;55;36;280;148;56;36;279;151;0;0;0;0;5,7;7,9;0;0;0;0;0;0;0;0;72;40,65;303;177;0;0;0;0
